id,device_id,status,temperature,humidity,light_intensity,noise_level,timestamp,count
1,3,ON,25.7,37,198,1,"2025-04-14 15:41:38",3
2,1,ON,25.4,32,305,0,"2025-04-14 15:42:15",8
3,1,ON,25,32,305,0,"2025-04-14 15:42:25",9
4,3,ON,25.5,37,199,1,"2025-04-14 15:42:29",6
5,3,ON,25.4,37,199,1,"2025-04-14 15:42:49",8
6,3,ON,25.4,37,199,1,"2025-04-14 15:42:59",9
7,3,ON,25.4,37,198,0,"2025-04-14 15:43:00",1
8,1,ON,25.8,32,307,1,"2025-04-14 15:43:07",5
9,1,ON,25.1,32,307,0,"2025-04-14 15:43:17",6
10,3,ON,25.3,37,201,1,"2025-04-14 15:43:20",3
11,1,ON,25.4,32,308,0,"2025-04-14 15:43:27",7
12,3,ON,25.3,37,197,0,"2025-04-14 15:43:30",4
13,1,ON,25.4,32,309,1,"2025-04-14 15:43:37",8
14,1,ON,25.9,32,309,1,"2025-04-14 15:43:38",1
15,3,ON,25.2,37,199,1,"2025-04-14 15:43:40",5
16,1,ON,25.4,32,311,1,"2025-04-14 15:43:49",1
17,3,ON,25.2,37,199,0,"2025-04-14 15:43:50",6
18,3,ON,25.2,37,200,1,"2025-04-14 15:43:52",1
19,1,ON,25.8,32,312,1,"2025-04-14 15:43:53",1
20,3,ON,25.1,38,198,0,"2025-04-14 15:44:02",2
21,3,ON,25.1,38,199,1,"2025-04-14 15:44:12",3
22,3,ON,25,38,197,0,"2025-04-14 15:44:22",4
23,1,ON,25.8,33,259,0,"2025-04-14 15:44:32",5
24,1,ON,25.6,33,260,0,"2025-04-14 15:44:42",6
25,1,ON,25.1,33,221,1,"2025-04-14 15:44:52",7
26,3,ON,25,38,198,0,"2025-04-14 15:44:53",4
27,3,ON,25,38,198,0,"2025-04-14 15:44:54",1
28,3,ON,25,38,204,1,"2025-04-14 15:45:05",2
29,3,ON,25,38,204,0,"2025-04-14 15:45:05",1
30,1,ON,25.6,33,319,1,"2025-04-14 15:45:25",4
31,1,ON,25.7,33,316,1,"2025-04-14 15:45:36",5
32,1,ON,25.7,33,318,1,"2025-04-14 15:45:46",2
33,3,ON,25,38,213,1,"2025-04-14 15:45:47",2
34,1,ON,25.5,33,316,0,"2025-04-14 15:45:56",3
35,3,ON,24.9,40,213,1,"2025-04-14 15:45:57",3
36,1,ON,25.4,33,314,0,"2025-04-14 15:46:07",4
37,3,ON,24.9,40,206,0,"2025-04-14 15:46:07",4
38,3,ON,24.9,40,204,0,"2025-04-14 15:46:17",5
39,3,ON,24.9,40,205,1,"2025-04-14 15:46:18",1
40,1,ON,25.2,33,309,1,"2025-04-14 15:46:27",6
41,1,ON,25.9,33,306,0,"2025-04-14 15:46:37",7
42,1,ON,25.7,33,305,1,"2025-04-14 15:46:47",8
43,1,ON,25.3,33,304,0,"2025-04-14 15:46:57",9
44,1,ON,25.6,33,305,0,"2025-04-14 15:47:07",10
45,1,ON,25.9,33,304,1,"2025-04-14 15:47:17",11
46,1,ON,25.6,33,304,0,"2025-04-14 15:47:18",1
47,3,ON,24.8,40,204,1,"2025-04-14 15:47:18",7
48,1,ON,25.8,33,234,1,"2025-04-14 15:47:28",2
49,3,ON,24.8,40,197,0,"2025-04-14 15:47:28",8
50,3,ON,24.8,40,197,1,"2025-04-14 15:47:29",1
51,1,ON,25,33,305,0,"2025-04-14 15:47:38",3
52,3,ON,24.7,40,201,0,"2025-04-14 15:47:39",2
53,1,ON,25.6,33,305,1,"2025-04-14 15:47:48",4
54,1,ON,25.1,33,306,0,"2025-04-14 15:47:50",1
55,3,ON,24.7,40,204,0,"2025-04-14 15:48:00",3
56,1,ON,25.4,33,306,1,"2025-04-14 15:48:01",2
57,3,ON,24.7,40,196,1,"2025-04-14 15:48:10",4
58,1,ON,25.5,33,294,0,"2025-04-14 15:48:11",3
59,3,ON,24.7,40,177,0,"2025-04-14 15:48:20",5
60,1,ON,25.2,33,295,1,"2025-04-14 15:48:21",4
61,3,ON,24.7,39,172,1,"2025-04-14 15:48:40",7
62,1,ON,25.1,33,110,0,"2025-04-14 15:49:01",8
63,2,ON,24.8,43,202,1,"2025-04-14 15:49:06",1
64,1,ON,25.6,34,307,1,"2025-04-14 15:49:11",9
65,1,ON,25.6,34,315,0,"2025-04-14 15:49:12",1
66,1,ON,25.1,33,312,1,"2025-04-14 15:49:33",2
67,1,ON,25.3,32,310,0,"2025-04-14 15:49:43",3
68,2,ON,24.8,43,298,1,"2025-04-14 15:49:54",3
69,2,ON,24.8,43,296,1,"2025-04-14 15:49:55",1
70,3,ON,24.4,39,208,1,"2025-04-14 15:50:07",2
71,3,ON,24.3,39,204,0,"2025-04-14 15:50:28",4
72,1,ON,25.9,2,4,1,"2025-04-14 15:50:28",4
73,2,ON,25.3,43,295,1,"2025-04-14 15:50:28",4
74,1,ON,25.4,32,310,1,"2025-04-14 15:50:29",1
75,2,ON,25,43,295,1,"2025-04-14 15:50:30",1
76,3,ON,24.2,39,206,0,"2025-04-14 15:50:42",1
77,1,ON,25.4,32,299,0,"2025-04-14 15:50:43",1
78,2,ON,25.3,43,291,1,"2025-04-14 15:50:52",3
79,3,ON,24.2,39,210,0,"2025-04-14 15:50:53",2
80,2,ON,24.8,43,286,1,"2025-04-14 15:51:02",4
81,3,ON,24.2,39,210,1,"2025-04-14 15:51:03",3
82,1,ON,25.3,32,310,0,"2025-04-14 15:51:04",3
83,1,ON,25,32,310,0,"2025-04-14 15:51:04",1
84,3,ON,24.2,39,210,0,"2025-04-14 15:51:06",1
85,1,ON,25.3,32,310,0,"2025-04-14 15:51:07",1
86,3,ON,34,1,3,0,"2025-04-14 15:51:08",1
87,1,ON,25.4,32,309,0,"2025-04-14 15:51:18",2
88,1,ON,25.4,32,309,1,"2025-04-14 15:51:19",1
89,3,ON,24.1,3,3,0,"2025-04-14 15:51:28",3
90,1,ON,25.3,32,308,0,"2025-04-14 15:51:29",2
91,3,ON,24.1,39,210,1,"2025-04-14 15:51:29",1
92,2,ON,24.8,43,119,1,"2025-04-14 15:51:39",4
93,1,ON,25.1,32,160,0,"2025-04-14 15:51:39",3
94,3,ON,24.1,40,190,1,"2025-04-14 15:51:39",2
95,2,ON,24.8,43,138,1,"2025-04-14 15:51:40",1
96,1,ON,25.7,32,193,1,"2025-04-14 15:51:41",1
97,3,ON,24.1,40,205,1,"2025-04-14 15:51:52",2
98,3,ON,24.1,40,206,1,"2025-04-14 15:51:52",1
99,3,ON,24.1,40,162,0,"2025-04-14 15:52:02",2
100,1,ON,24,3,1,0,"2025-04-14 15:52:03",3
101,1,ON,25.2,32,116,0,"2025-04-14 15:52:03",1
102,3,ON,24.1,39,162,1,"2025-04-14 15:52:12",3
103,1,ON,25.2,32,186,1,"2025-04-14 15:52:13",2
104,1,ON,25.9,33,213,0,"2025-04-14 15:52:24",3
105,3,ON,24.1,40,202,0,"2025-04-14 15:52:33",5
106,3,ON,24.1,40,200,0,"2025-04-14 15:52:34",1
107,1,ON,26.1,32,210,0,"2025-04-14 15:52:43",5
108,1,ON,26.5,32,214,0,"2025-04-14 15:52:54",6
109,1,ON,26.7,32,214,1,"2025-04-14 15:52:55",1
110,3,ON,24.2,40,182,1,"2025-04-14 15:53:15",5
111,1,ON,26.6,32,219,0,"2025-04-14 15:53:25",2
112,3,ON,24.2,40,210,0,"2025-04-14 15:53:35",7
113,1,ON,26.2,32,249,0,"2025-04-14 15:53:41",1
114,1,ON,26.3,32,273,0,"2025-04-14 15:53:52",2
115,1,ON,26,32,295,0,"2025-04-14 15:54:01",3
116,1,ON,26,32,301,0,"2025-04-14 15:54:11",4
117,1,ON,26.2,32,310,1,"2025-04-14 15:54:14",1
118,3,ON,24.2,40,89,0,"2025-04-14 15:54:15",1
119,1,ON,26.3,32,344,1,"2025-04-14 15:54:34",3
120,3,ON,24.2,40,221,1,"2025-04-14 15:54:35",3
121,1,ON,26.2,32,345,0,"2025-04-14 15:54:35",1
122,3,ON,24.2,40,221,1,"2025-04-14 15:54:36",3
123,1,ON,26.4,32,335,0,"2025-04-14 15:54:55",3
124,1,ON,26.9,32,331,0,"2025-04-14 15:54:56",1
125,3,ON,24.3,40,0,1,"2025-04-14 15:54:57",1
126,3,ON,24.3,40,232,1,"2025-04-14 15:55:09",2
127,3,ON,24.3,40,231,1,"2025-04-14 15:55:10",1
128,3,ON,24.4,40,229,0,"2025-04-14 15:55:20",2
129,1,ON,26.6,32,388,0,"2025-04-14 15:55:49",6
130,3,ON,24.4,40,214,1,"2025-04-14 15:55:51",4
131,3,ON,24.4,40,231,0,"2025-04-14 15:55:52",1
132,1,ON,25.8,33,399,0,"2025-04-14 15:56:00",2
133,3,ON,24.5,40,203,1,"2025-04-14 15:56:02",2
134,1,ON,25.2,33,384,0,"2025-04-14 15:56:10",3
135,3,ON,24.5,40,73,1,"2025-04-14 15:56:12",3
136,1,ON,25.2,33,396,0,"2025-04-14 15:56:20",4
137,3,ON,24.5,40,72,1,"2025-04-14 15:56:22",4
138,1,ON,25,33,405,0,"2025-04-14 15:56:30",5
139,3,ON,24.5,40,98,0,"2025-04-14 15:56:32",5
140,3,ON,24.5,40,44,1,"2025-04-14 15:56:42",6
141,1,ON,25.3,33,77,0,"2025-04-14 15:56:52",3
142,3,ON,24.5,40,150,0,"2025-04-14 15:56:52",7
143,1,ON,26.2,33,422,0,"2025-04-14 15:57:02",1
144,1,ON,26.7,33,436,1,"2025-04-14 15:57:15",2
145,3,ON,24.6,41,175,1,"2025-04-14 15:57:23",1
146,1,ON,26.6,32,385,1,"2025-04-14 15:57:33",2
147,1,ON,26,33,474,1,"2025-04-14 15:57:53",4
148,1,ON,26.5,33,474,0,"2025-04-14 15:57:54",1
149,3,ON,24.6,40,246,1,"2025-04-14 15:57:54",4
150,1,ON,26.4,33,464,0,"2025-04-14 15:58:04",2
151,3,ON,24.7,40,253,1,"2025-04-14 15:58:06",1
152,1,ON,26.3,33,503,0,"2025-04-14 15:58:14",3
153,1,ON,26.5,33,511,0,"2025-04-14 15:58:24",4
154,3,ON,24.7,40,256,1,"2025-04-14 15:58:25",3
155,1,ON,26.5,33,520,1,"2025-04-14 15:58:34",5
156,1,ON,26.2,33,521,0,"2025-04-14 15:58:35",1
157,3,ON,24.7,40,260,0,"2025-04-14 15:58:36",4
158,3,ON,24.7,40,262,1,"2025-04-14 15:58:56",3
159,1,ON,26.3,32,538,1,"2025-04-14 15:59:05",4
160,1,ON,26.1,33,542,0,"2025-04-14 15:59:06",1
161,3,ON,24.7,40,266,1,"2025-04-14 15:59:06",4
162,1,ON,26.6,33,563,1,"2025-04-14 15:59:16",2
163,3,ON,24.7,40,267,0,"2025-04-14 15:59:16",5
164,1,ON,26.2,32,568,0,"2025-04-14 15:59:27",1
